  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
066700 99999 201701010000 240   7 ***   2 OVC * * *  1.2 10 ** ** ** ** ** ** ** 2   26   25 1031.8 *****  977.8 *** ***  0.00  0.00 ***** ***** ** 
066700 99999 201701010050 990   5 ***   2 *** * * *  0.9 10 ** ** ** ** ** ** ** *   25   25 ****** 30.36 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701010100 190   5 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   26   24 1031.2 *****  977.2 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701010120 990   5 ***   2 *** * * *  1.9 10 ** ** ** ** ** ** ** *   25   25 ****** 30.36 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701010150 220   6 ***   3 *** * * *  1.6 10 ** ** ** ** ** ** ** *   25   25 ****** 30.36 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701010200 230   6 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   26   24 1030.7 *****  976.7 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701010220 220   7 ***   3 *** * * *  1.6 10 ** ** ** ** ** ** ** *   25   25 ****** 30.33 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701010250 220   7 ***   3 *** * * *  1.9 10 ** ** ** ** ** ** ** *   25   25 ****** 30.33 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701010300 220   5 ***   3 OVC * * *  1.9 10 ** ** ** ** ** ** ** 2   26   24 1029.9 *****  976.0 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701010320 990   5 ***   3 *** * * *  1.9 10 ** ** ** ** ** ** ** *   25   25 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701010350 990   5 ***   3 *** * * *  2.2 10 ** ** ** ** ** ** ** *   25   25 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701010400 220   3 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   26   24 1029.2 *****  975.3 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701010420 990   5 ***   3 *** * * *  2.5 10 ** ** ** ** ** ** ** *   25   25 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701010450 990   5 ***   4 *** * * *  2.5 10 ** ** ** ** ** ** ** *   25   25 ****** 30.30 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701010500 200   3 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   25   24 1028.7 *****  974.8 *** ***  0.00 ***** ***** ***** ** 
