Day.Month	Hour	Precipitation[mm/h]
01.01	0	0.000000
01.01	1	0.000000
01.01	2	0.000000
01.01	3	0.000000
01.01	4	0.000000
01.01	5	0.000000
01.01	6	0.000000
01.01	7	0.000000
01.01	8	0.000000
01.01	9	0.000000
01.01	10	0.000000
01.01	11	0.000000
01.01	12	0.000000
01.01	13	0.000000
01.01	14	0.000000
01.01	15	0.000000
01.01	16	0.000000
01.01	17	0.000000
01.01	18	0.000000
01.01	19	0.000000
01.01	20	0.000000
01.01	21	0.000000
01.01	22	0.000000
01.01	23	0.000000
02.01	0	0.000000
02.01	1	0.000000
02.01	2	0.000000
02.01	3	0.000000
02.01	4	0.000000
02.01	5	0.000000
02.01	6	0.000000
02.01	7	0.000000
02.01	8	0.000000
02.01	9	0.000000
02.01	10	0.000000
02.01	11	0.000000
02.01	12	0.000000
02.01	13	0.000000
02.01	14	0.000000
02.01	15	0.000000
02.01	16	0.000000
02.01	17	0.000000
02.01	18	0.000000
02.01	19	0.000000
02.01	20	0.000000
02.01	21	0.000000
02.01	22	0.000000
02.01	23	0.000000
03.01	0	0.000000
03.01	1	0.000000
03.01	2	0.000000
03.01	3	0.000000
03.01	4	0.000000
03.01	5	0.000000
03.01	6	0.000000
03.01	7	0.000000
03.01	8	0.000000
03.01	9	0.000000
03.01	10	0.000000
03.01	11	0.000000
03.01	12	0.000000
03.01	13	0.000000
03.01	14	0.000000
03.01	15	0.000000
03.01	16	0.000000
03.01	17	0.000000
03.01	18	0.000000
03.01	19	0.000000
03.01	20	0.000000
03.01	21	0.000000
03.01	22	0.000000
03.01	23	0.000000
04.01	0	0.000000
04.01	1	0.000000
04.01	2	0.000000
04.01	3	0.000000
04.01	4	0.000000
04.01	5	0.000000
04.01	6	0.000000
04.01	7	0.000000
04.01	8	0.000000
04.01	9	0.000000
04.01	10	0.000000
04.01	11	0.000000
04.01	12	0.000000
04.01	13	0.000000
04.01	14	0.000000
04.01	15	0.000000
04.01	16	0.000000
04.01	17	0.000000
04.01	18	0.000000
04.01	19	0.000000
04.01	20	0.000000
04.01	21	0.000000
04.01	22	0.000000
04.01	23	0.000000
05.01	0	0.000000
05.01	1	0.000000
05.01	2	0.000000
05.01	3	0.000000
05.01	4	0.000000
05.01	5	0.000000
05.01	6	0.000000
05.01	7	0.000000
05.01	8	0.000000
05.01	9	0.000000
05.01	10	0.000000
05.01	11	0.000000
05.01	12	0.000000
05.01	13	0.000000
05.01	14	0.000000
05.01	15	0.000000
05.01	16	0.000000
05.01	17	0.000000
05.01	18	0.000000
05.01	19	0.000000
05.01	20	0.000000
05.01	21	0.000000
05.01	22	0.000000
05.01	23	0.000000
06.01	0	0.000000
06.01	1	0.000000
06.01	2	0.000000
06.01	3	0.000000
06.01	4	0.000000
06.01	5	0.000000
06.01	6	0.000000
06.01	7	0.000000
06.01	8	0.000000
06.01	9	0.000000
06.01	10	0.000000
06.01	11	0.000000
06.01	12	0.000000
06.01	13	0.000000
06.01	14	0.000000
06.01	15	0.000000
06.01	16	0.000000
06.01	17	0.000000
06.01	18	0.000000
06.01	19	0.000000
06.01	20	0.000000
06.01	21	0.000000
06.01	22	0.000000
06.01	23	0.000000
07.01	0	0.000000
07.01	1	0.000000
07.01	2	0.000000
07.01	3	0.000000
07.01	4	0.000000
07.01	5	0.000000
07.01	6	0.000000
07.01	7	0.000000
07.01	8	0.000000
07.01	9	0.000000
07.01	10	0.000000
07.01	11	0.000000
07.01	12	0.000000
07.01	13	0.000000
07.01	14	0.000000
07.01	15	0.000000
07.01	16	0.000000
07.01	17	0.000000
07.01	18	0.000000
07.01	19	0.000000
07.01	20	0.000000
07.01	21	0.000000
07.01	22	0.000000
07.01	23	0.000000
08.01	0	0.000000
08.01	1	0.000000
08.01	2	0.000000
08.01	3	0.000000
08.01	4	0.000000
08.01	5	0.000000
08.01	6	0.000000
08.01	7	0.000000
08.01	8	0.000000
08.01	9	0.000000
08.01	10	0.000000
08.01	11	0.000000
08.01	12	0.000000
08.01	13	0.000000
08.01	14	0.000000
08.01	15	0.000000
08.01	16	0.000000
08.01	17	0.000000
08.01	18	0.000000
08.01	19	0.000000
08.01	20	0.000000
08.01	21	0.000000
08.01	22	0.000000
08.01	23	0.000000
09.01	0	0.000000
09.01	1	0.000000
09.01	2	0.000000
09.01	3	0.000000
09.01	4	0.000000
09.01	5	0.000000
09.01	6	0.000000
09.01	7	0.000000
09.01	8	0.000000
09.01	9	0.000000
09.01	10	0.000000
09.01	11	0.000000
09.01	12	0.000000
09.01	13	0.000000
09.01	14	0.000000
09.01	15	0.000000
09.01	16	0.000000
09.01	17	0.000000
09.01	18	0.000000
09.01	19	0.000000
09.01	20	0.000000
09.01	21	0.000000
09.01	22	0.000000
09.01	23	0.000000
10.01	0	0.000000
10.01	1	0.000000
10.01	2	0.000000
10.01	3	0.000000
10.01	4	0.000000
10.01	5	0.000000
10.01	6	0.000000
10.01	7	0.000000
10.01	8	0.000000
10.01	9	0.000000
10.01	10	0.000000
10.01	11	0.000000
10.01	12	0.000000
10.01	13	0.000000
10.01	14	0.000000
10.01	15	0.000000
10.01	16	0.000000
10.01	17	0.000000
10.01	18	0.000000
10.01	19	0.000000
10.01	20	0.000000
10.01	21	0.000000
10.01	22	0.000000
10.01	23	0.000000
11.01	0	0.000000
11.01	1	0.000000
11.01	2	0.000000
11.01	3	0.000000
11.01	4	0.000000
11.01	5	0.000000
11.01	6	0.000000
11.01	7	0.000000
11.01	8	0.000000
11.01	9	0.000000
11.01	10	0.000000
11.01	11	0.000000
11.01	12	0.000000
11.01	13	0.000000
11.01	14	0.000000
11.01	15	0.000000
11.01	16	0.000000
11.01	17	0.000000
11.01	18	0.000000
11.01	19	0.000000
11.01	20	0.000000
11.01	21	0.000000
11.01	22	0.000000
11.01	23	0.000000
12.01	0	0.000000
12.01	1	0.000000
12.01	2	0.000000
12.01	3	0.000000
12.01	4	0.000000
12.01	5	0.000000
12.01	6	0.000000
12.01	7	0.000000
12.01	8	0.000000
12.01	9	0.000000
12.01	10	0.000000
12.01	11	0.000000
12.01	12	0.000000
12.01	13	0.000000
12.01	14	0.000000
12.01	15	0.000000
12.01	16	0.000000
12.01	17	0.000000
12.01	18	0.000000
12.01	19	0.000000
12.01	20	0.000000
12.01	21	0.000000
12.01	22	0.000000
12.01	23	0.000000
13.01	0	0.000000
13.01	1	0.000000
13.01	2	0.000000
13.01	3	0.000000
