ID	Mission	nPoints	Engine	Fuel	Sulfur	Aromatics	Naph	Hydrogen	TempC	ColdEIn	HotEIn	VolEIn	mBC	ColdV	HotV	VolV	Org_Fract	SO4_Fract	mOrg	mSO4	Engine2	Engine3	N1	N2	EGT	FF	ColdGMD	ColdVMD	HotGMD	HotVMD
1	APEX	158	3	JP-8	383	17.6	0.93	13.69	21.0	8.32E+15	2.03E+14	8.11E+15	2.233	59.0	18.0	41.1	NA	NA	NA	NA	0	1	54.8	83	786	0.341562138	16.205195	37.4355725	17.008135	47.75287
2	APEX	191	3	JP-8	383	17.6	0.93	13.69	22.0	1.21E+16	1.56E+14	1.20E+16	4.925	58.2	13.4	44.8	NA	NA	NA	NA	0	1	53.5	83	779	0.341562138	15.16255	24.211165	17.51781	47.42213
3	APEX	277	3	JP-8	383	17.6	0.93	13.69	25.0	1.19E+16	2.71E+14	1.16E+16	4.632	93.4	22.5	70.9	NA	NA	NA	NA	0	1	52.5	85	781	0.341562138	16.7512325	25.48232	12.5230875	56.2650825
4	APEX	332	3	JP-8	383	17.6	0.93	13.69	27.0	1.24E+16	2.25E+14	1.22E+16	3.333	70.5	21.2	49.4	NA	NA	NA	NA	0	1	53.5	84	771	0.341562138	16.22057833	23.82061667	12.56352	56.89679
5	APEX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.341562138	NA	NA	NA	NA
6	APEX	327	3	JP-8	383	17.6	0.93	13.69	33.0	1.55E+16	2.85E+14	1.52E+16	4.185	32.9	19.1	13.8	NA	NA	NA	NA	0	1	52.0	70	804	0.341562138	12.1854175	23.2016475	13.37111	56.77973667
7	APEX	280	3	JP-8	383	17.6	0.93	13.69	24.0	2.59E+16	1.12E+14	2.58E+16	7.896	35.8	12.9	22.9	0.767	0.233	21.05977655	6.409993593	0	1	53.0	85	792	0.341562138	12.002846	19.144358	15.17721	50.69822667
8	APEX	225	3	JP-8	383	17.6	0.93	13.69	34.0	1.24E+16	1.68E+14	1.23E+16	5.739	37.7	16.1	21.6	0.481	0.519	12.45653863	13.42722084	0	1	54.0	85	805	0.341562138	12.696178	23.133878	12.11744	51.41805333
9	APEX	287	3	Sulfur	1595	17.3	1.31	13.67	33.0	5.51E+16	1.84E+14	5.49E+16	5.120	133.7	12.6	121.1	NA	NA	NA	NA	0	1	52.5	85	784	0.341562138	15.54323625	20.58730125	11.28961714	44.91987571
10	APEX	243	3	Sulfur	1595	17.3	1.31	13.67	26.0	6.55E+16	1.05E+14	6.54E+16	6.271	172.4	12.6	159.9	0.586	0.414	112.4066969	79.45246256	0	1	52.8	84	774	0.341562138	15.58552286	20.27769429	12.73251833	45.94715167
11	APEX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.341562138	14.66341077	24.97017692	NA	NA
12	APEX	230	3	Aromatic	530	21.8	1.34	13.7	30.0	2.98E+16	8.38E+13	2.97E+16	5.120	47.3	13.2	34.0	0.519	0.481	21.20708823	19.65215654	0	1	53.5	85	780	0.341562138	11.93553	17.24499	17.361536	54.593308
13	APEX	217	3	Aromatic	530	21.8	1.34	13.7	21.0	3.94E+16	1.25E+14	3.93E+16	4.328	54.9	10.1	44.8	0.674	0.326	36.23405899	17.53185299	0	1	53.0	83	776	0.341562138	12.74672857	17.56399571	19.248055	46.03295167
14	APEX	216	3	Sulfur	1595	17.3	1.31	13.67	24.0	3.87E+16	2.27E+14	3.84E+16	31.729	177.4	60.1	117.3	0.637	0.363	89.6463871	51.14237717	0	1	52.0	85	807	0.341562138	14.45236	31.60360333	20.45368	58.11722333
15	APEX	259	3	Sulfur	1595	17.3	1.31	13.67	24.0	5.82E+16	9.14E+13	5.81E+16	4.301	136.2	12.6	123.6	0.613	0.387	90.98984617	57.38653356	0	1	53.0	83	819	0.341562138	14.43933	22.86870125	14.704304	58.579778
16	AAFEX-I	140	3	JP-8	1148	18.6	1.6	13.6	5.6	2.7E+16	3.6E+14	2.65E+16	8.962	68.4	8.0	60.4	NA	NA	NA	NA	0	1	53	71	763	0.341562138	12.7571	19.855	13.153	49.4759
17	AAFEX-I	140	2	JP-8	1148	18.6	1.6	13.6	5.7	2.6E+16	5.0E+14	2.54E+16	13.029	80.7	10.8	69.9	NA	NA	NA	NA	1	0	NA	NA	NA	0.341562138	13.7169	22.2152	15.5949	54.0442
18	AAFEX-I	45	3	JP-8	1148	18.6	1.6	13.6	5.8	4.5E+16	5.5E+14	4.40E+16	11.631	104.4	45.8	58.6	NA	NA	NA	NA	0	1	83	81	766	0.341562138	15.3705	28.3007	15.0392	165.186
19	AAFEX-I	64	2	JP-8	1148	18.6	1.6	13.6	4.8	3.0E+16	6.2E+14	2.97E+16	22.116	92.3	39.7	52.6	NA	NA	NA	NA	1	0	NA	NA	NA	0.341562138	15.7994	32.4053	16.3575	122.118
20	AAFEX-I	159	2	JP-8	1148	18.6	1.6	13.6	9.2	8.1E+15	7.5E+14	7.40E+15	27.267	105.8	22.6	83.1	NA	NA	NA	NA	1	0	NA	NA	NA	0.341562138	14.4507	27.4446	16.4515	57.1291
21	AAFEX-I	210	3	JP-8	1148	18.6	1.6	13.6	9.2	3.3E+16	4.7E+14	3.25E+16	12.352	75.5	13.2	62.3	NA	NA	NA	NA	0	1	53	81	769	0.341562138	12.7026	19.8366	14.1073	52.2658
22	AAFEX-I	110	3	JP-8	1148	18.6	1.6	13.6	10.0	3.2E+16	4.1E+14	3.15E+16	10.889	75.4	11.0	64.5	NA	NA	NA	NA	0	1	53	81	746	0.341562138	13.1735	20.8428	15.6302	50.5555
23	AAFEX-I	83	3	JP-8	1148	18.6	1.6	13.6	-4.1	4.0E+16	5.7E+14	3.94E+16	15.952	97.1	18.5	78.6	NA	NA	NA	NA	0	1	54	81	745	0.341562138	13.2823	22.1903	17.0766	57.1167
24	AAFEX-I	166	2	JP-8	1148	18.6	1.6	13.6	-3.7	3.2E+16	7.7E+14	3.16E+16	27.910	124.1	29.3	94.8	NA	NA	NA	NA	1	0	NA	NA	NA	0.341562138	14.4476	26.5723	17.4739	57.7243
25	AAFEX-I	184	3	JP-8	1148	18.6	1.6	13.6	3.0	3.4E+16	9.4E+15	2.46E+16	16.028	94.8	74.2	20.6	NA	NA	NA	NA	0	1	53	81	736	0.341562138	12.9905	22.1841	12.9683	25.1876
26	AAFEX-I	150	2	JP-8	1148	18.6	1.6	13.6	13.5	2.7E+16	6.0E+14	2.62E+16	21.594	85.8	24.4	61.4	NA	NA	NA	NA	1	0	NA	NA	NA	0.341562138	14.0056	27.8019	18.3978	59.9205
27	AAFEX-I	165	3	FT1	19	0	0	15.5	13.4	1.6E+15	2.3E+13	1.57E+15	1.988	1.9	1.0	0.8	0.946	0.054	0.953229678	0.054278322	0	1	53	82	769	0.341562138	13.2382	37.9118	15.2972	70.042
28	AAFEX-I	200	3	FT1	19	0	0	15.5	15.0	8.1E+14	9.4E+12	8.05E+14	3.679	1.1	0.3	0.8	0.650	0.350	0.618941453	0.333594547	0	1	53	82	749	0.341562138	17.6534	89.474	18.6721	84.4995
29	AAFEX-I	120	2	JP-8	1148	18.6	1.6	13.6	0.5	3.2E+16	6.7E+14	3.13E+16	24.493	89.4	9.0	80.4	NA	NA	NA	NA	1	0	NA	NA	NA	0.341562138	14.0109	19.8195	16.1427	31.9145
30	AAFEX-I	150	3	FT1	19	0	0	15.5	0.5	1.6E+15	1.4E+13	1.54E+15	2.400	20.4	2.2	18.2	NA	NA	NA	NA	0	1	54	80	752	0.341562138	13.8372	19.8002	15.9284	31.4375
31	AAFEX-I	90	3	FT1	19	0	0	15.5	4.0	1.6E+15	3.3E+13	1.57E+15	3.040	0.8	0.2	0.6	0.644	0.356	0.463769271	0.256521129	0	1	54	80	737	0.341562138	12.4598	28.4565	15.2867	30.9869
32	AAFEX-I	190	2	JP-8	1148	18.6	1.6	13.6	0.7	2.8E+16	6.5E+14	2.74E+16	25.927	102.0	19.5	82.5	NA	NA	NA	NA	1	0	NA	NA	NA	0.341562138	14.2709	25.8437	17.2302	56.6499
33	AAFEX-I	185	3	BlendFT1	699	8	0.8	14.5	1.1	1.7E+16	1.5E+14	1.72E+16	3.941	42.5	5.2	37.3	0.486	0.514	21.76748154	23.02237446	0	1	54	81	756	0.341562138	12.3141	17.4361	13.8719	55.8243
34	AAFEX-I	180	3	BlendFT1	699	8	0.8	14.5	9.0	1.7E+16	1.3E+14	1.65E+16	3.505	33.4	4.4	29.0	0.205	0.795	7.139851663	27.67627634	0	1	53	81	750	0.341562138	11.9496	17.0083	14.2468	57.6309
35	AAFEX-I	170	2	JP-8	1148	18.6	1.6	13.6	15.6	2.6E+16	5.4E+14	2.57E+16	19.938	98.8	19.4	79.4	0.728	0.272	69.29847537	25.93340463	1	0	NA	NA	NA	0.341562138	14.1281	24.6554	18.6461	57.3535
36	AAFEX-I	130	3	FT2	22	0.6	0	15.1	15.6	1.6E+15	3.2E+13	1.52E+15	1.766	29.5	0.8	28.7	NA	NA	NA	NA	0	1	53	82	779	0.341562138	14.3427	25.5947	16.2474	73.7081
37	AAFEX-I	110	3	FT2	22	0.6	0	15.1	17.9	8.5E+14	1.9E+13	8.27E+14	1.779	0.5	0.1	0.4	0.731	0.269	0.361652381	0.133094419	0	1	52	82	759	0.341562138	12.5916	54.7279	15.2187	38.8438
38	AAFEX-I	180	2	JP-8	1148	18.6	1.6	13.6	-0.1	2.8E+16	6.3E+14	2.76E+16	21.810	84.0	14.4	69.6	0.810	0.190	67.66812258	15.86027742	1	0	NA	NA	NA	0.341562138	13.7795	24.5236	18.2575	56.4086
39	AAFEX-I	140	3	FT2	22	0.6	0	15.1	0.0	1.3E+15	6.5E+13	1.26E+15	2.594	6.4	0.9	5.5	NA	NA	NA	NA	0	1	54	81	758	0.341562138	14.0886	37.8982	15.623	59.2231
40	AAFEX-I	160	2	JP-8	1148	18.6	1.6	13.6	9.3	2.6E+16	5.6E+14	2.55E+16	20.332	89.7	15.5	74.2	NA	NA	NA	NA	1	0	NA	NA	NA	0.341562138	13.7392	25.1812	14.9721	55.9218
41	AAFEX-I	140	3	BlendFT2	658	9.1	0.8	14.3	9.5	1.4E+16	1.6E+14	1.36E+16	3.614	45.4	7.7	37.7	NA	NA	NA	NA	0	1	83	94	975	0.341562138	12.1511	20.1228	14.4287	59.0466
42	AAFEX-I	150	3	BlendFT2	658	9.1	0.8	14.3	12.9	1.4E+16	1.4E+14	1.41E+16	3.786	32.1	3.9	28.2	NA	NA	NA	NA	0	1	20	58	745	0.341562138	11.575	17.3063	13.5897	62.022
43	AAFEX-I	150	3	JP-8	1148	18.6	1.6	13.6	19.9	2.6E+16	4.0E+14	2.58E+16	10.731	66.2	8.3	57.9	NA	NA	NA	NA	0	1	53	81	768	0.341562138	12.4818	18.8644	15.6742	54.4715
44	AAFEX-II	200	2	JP-8	188	21.8	1.3	13.5	13.3	7.22E+15	4.35E+14	6.78E+15	14.764	25.359	8.65799	16.7	0.819	0.181	16.41306155	3.628150448	1	0	NA	NA	NA	0.341562138	12.7167	33.2022	20.3087	54.2039
45	AAFEX-II	150	3	JP-8	188	21.8	1.3	13.5	13.3	4.04E+15	3.38E+14	3.70E+15	9.116	12.238	4.6091	7.6	0.796	0.204	7.284369032	1.870310968	0	1	NA	NA	NA	0.341562138	11.0619	35.304	19.0849	51.1865
46	AAFEX-II	140	3	JP-8	188	21.8	1.3	13.5	17.2	3.04E+15	2.62E+14	2.78E+15	4.986	6.79982	2.90443	3.9	0.770	0.230	3.599877655	1.074590345	0	1	NA	NA	NA	0.341562138	10.7904	34.293	18.4343	54.5557
47	AAFEX-II	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.341562138	18.0393	51.5065	15.5257	40.706
48	AAFEX-II	160	3	JP-8	188	21.8	1.3	13.5	17.2	2.38E+15	2.86E+14	2.09E+15	7.509	10.8618	3.72315	7.1	0.717	0.283	6.143565455	2.422814545	0	1	NA	NA	NA	0.341562138	11.1776	56.3926	18.8149	51.4294
49	AAFEX-II	120	3	JP-8	188	21.8	1.3	13.5	16.7	3.96E+15	2.62E+14	3.70E+15	7.968	9.80717	2.67196	7.1	0.692	0.308	5.921909974	2.640342026	0	1	NA	NA	NA	0.341562138	10.6053	46.7745	18.1517	46.7896
50	AAFEX-II	155	2	JP-8	188	21.8	1.3	13.5	8.9	6.62E+15	4.46E+14	6.17E+15	18.985	25.693	8.94728	16.7	0.737	0.263	14.80105574	5.293808258	1	0	NA	NA	NA	0.341562138	12.2194	44.8074	19.862	60.6783
51	AAFEX-II	195	3	HRJ	6	0.4	0	15.3	8.9	1.52E+15	2.51E+13	1.49E+15	4.022	4.3584	1.57772	2.8	0.709	0.291	2.367335676	0.969480324	0	1	NA	NA	NA	0.341562138	11.6094	131.092	20.4747	122.41
52	AAFEX-II	260	3	HRJ	6	0.4	0	15.3	12.2	1.46E+15	1.56E+13	1.45E+15	2.708	2.40704	0.265124	2.1	0.661	0.339	1.6982334	0.8720658	0	1	NA	NA	NA	0.341562138	10.1608	142.727	16.5279	107.857
