ID	Mission	nPoints	Engine	Fuel	Sulfur	Aromatics	Naph	Hydrogen	TempC	ColdEIn	HotEIn	VolEIn	mBC	ColdV	HotV	VolV	Org_Fract	SO4_Fract	mOrg	mSO4	ColdGMD	ColdVMD	HotGMD	HotVMD	Engine2	Engine3	N1	N2	EGT	FF
1	APEX	329	3	JP-8	383	17.6	0.93	13.69	NA	1.54E+16	2.44E+15	1.30E+16	NA	NA	NA	NA	NA	NA	NA	NA	21.46377	35.11332	14.06082	36.198005	0	1	NA	NA	NA	NA
2	APEX	552	3	JP-8	383	17.6	0.93	13.69	21.0	1.34E+15	NA	NA	6.40	97.78	89.35	8.4	NA	NA	NA	NA	22.39803583	50.3091575	23.18249333	52.80863833	0	1	26.4	68	758	0.122
3	APEX	156	3	JP-8	383	17.6	0.93	13.69	22.0	1.64E+16	1.66E+15	1.48E+16	3.53	186.85	26.58	160.3	NA	NA	NA	NA	19.91402667	27.71348333	13.35311	23.89041667	0	1	27.0	70	741	0.118
4	APEX	171	3	JP-8	383	17.6	0.93	13.69	27.0	1.74E+16	1.25E+15	1.61E+16	5.80	165.15	45.06	120.1	NA	NA	NA	NA	19.82157667	28.29328	13.287875	30.16357	0	1	26.0	67	755	0.118
5	APEX	1306	3	JP-8	383	17.6	0.93	13.69	32.0	2.34E+16	1.04E+15	2.24E+16	7.30	91.41	40.23	51.2	NA	NA	NA	NA	15.16757423	24.27344269	11.94940818	42.60012318	0	1	26.5	69	779	0.121
6	APEX	155	3	JP-8	383	17.6	0.93	13.69	33.0	2.68E+16	8.25E+14	2.60E+16	6.33	68.00	21.46	46.5	NA	NA	NA	NA	13.1797475	22.152135	11.508395	30.349275	0	1	27.0	70	793	0.123
7	APEX	320	3	JP-8	383	17.6	0.93	13.69	32.0	2.44E+16	6.67E+14	2.37E+16	7.01	64.07	26.66	37.4	NA	NA	NA	NA	13.42836333	23.44042667	11.43472667	36.58052	0	1	26.5	70	835	0.123
8	APEX	292	3	JP-8	383	17.6	0.93	13.69	18.0	5.16E+16	2.04E+15	4.96E+16	10.46	173.09	31.07	142.0	0.864	0.136	147.3277259	23.09625028	15.50857167	22.41515333	10.823832	25.86706	0	1	26.4	67	751	0.121
9	APEX	762	3	JP-8	383	17.6	0.93	13.69	20.0	5.00E+16	1.93E+15	4.81E+16	6.38	92.90	19.72	73.2	0.849	0.151	74.56701547	13.24628194	14.03498125	19.46329625	10.30891231	26.89839688	0	1	26.4	70	728	0.116
10	APEX	1351	3	JP-8	383	17.6	0.93	13.69	23.0	3.83E+16	1.59E+15	3.67E+16	8.46	77.56	20.94	56.6	NA	NA	NA	NA	13.7840175	20.51028214	10.5712616	30.57986	0	1	26.4	70	737	0.115
11	APEX	204	3	JP-8	383	17.6	0.93	13.69	25.0	3.75E+16	1.24E+15	3.62E+16	7.43	55.62	16.85	38.8	NA	NA	NA	NA	13.17216	19.3534675	10.72235333	24.36300333	0	1	26.4	70	773	0.125
12	APEX	216	3	JP-8	383	17.6	0.93	13.69	34.0	2.12E+16	1.10E+15	2.01E+16	6.79	85.38	30.92	54.5	0.755	0.245	49.35951183	15.99771552	14.90528167	25.12589167	11.83083167	34.17126167	0	1	26.7	70	778	0.121
13	APEX	253	3	JP-8	383	17.6	0.93	13.69	34.0	3.29E+16	9.46E+14	3.19E+16	5.66	81.40	20.53	60.9	0.387	0.613	28.26713668	44.78453552	14.60407	23.55572333	11.460974	26.98677	0	1	26.4	70	777	0.121
14	APEX	233	3	Sulfur	1595	17.3	1.31	13.67	34.0	7.02E+16	3.28E+15	6.69E+16	5.76	166.60	27.21	139.4	NA	NA	NA	NA	16.23196	20.89045571	11.66268143	20.34731	0	1	26.5	69	767	0.112
15	APEX	223	3	Sulfur	1595	17.3	1.31	13.67	26.0	7.13E+16	3.53E+15	6.78E+16	6.79	149.63	21.87	127.8	NA	NA	NA	NA	15.14999	19.93560833	10.588718	16.963704	0	1	26.4	69	757	0.114
16	APEX	160	3	Aromatic	530	21.8	1.34	13.7	28.0	4.05E+16	1.14E+15	3.93E+16	3.60	113.26	19.74	93.5	0.639	0.361	71.67814456	40.55005956	12.623725	19.727155	10.323375	34.34085	0	1	26.1	69	754	0.110
17	APEX	228	3	Aromatic	530	21.8	1.34	13.7	20.0	5.67E+16	2.92E+15	5.38E+16	6.21	125.87	16.65	109.2	0.803	0.197	105.1840779	25.88038622	14.89155429	19.35128286	10.635284	19.557498	0	1	26.5	68	744	0.115
18	APEX	408	3	Sulfur	1595	17.3	1.31	13.67	23.0	7.74E+16	4.86E+15	7.25E+16	52.42	124.59	29.85	94.7	0.789	0.211	89.73279524	23.95708553	14.91248167	22.40782333	11.185556	24.745736	0	1	26.5	69	830	0.123
19	APEX	116	3	Sulfur	1595	17.3	1.31	13.67	24.0	6.72E+16	1.10E+14	6.71E+16	NA	142.49	7.47	135.0	NA	NA	NA	NA	14.58587	18.868445	11.94713	38.43597	0	1	26.5	70	786	0.116
20	APEX	294	3	Sulfur	1595	17.3	1.31	13.67	24.0	5.23E+16	2.72E+15	4.96E+16	53.42	99.57	14.92	84.6	0.776	0.224	78.81631317	22.75846743	14.818285	19.96186	10.969362	18.261146	0	1	26.5	69	796	0.116
21	APEX	623	3	Sulfur	1595	17.3	1.31	13.67	24.0	4.21E+16	1.50E+15	4.06E+16	9.68	62.13	13.71	48.4	0.762	0.238	44.28040687	13.81977526	13.93822625	20.45058375	10.66782375	29.01794625	0	1	26.5	70	817	0.123
22	APEX	618	3	Sulfur	1595	17.3	1.31	13.67	23.0	5.07E+16	2.12E+15	4.86E+16	10.82	72.32	14.55	57.8	0.789	0.211	54.68586012	14.63882735	13.97518533	20.10335933	10.94655077	28.51024692	0	1	26.5	70	798	0.118
23	AAFEX-I	150	2	JP-8	1148	18.6	1.6	13.6	5.4	3.80E+16	1.64E+15	3.64E+16	16.40	179.45	17.29	162.2	NA	NA	NA	NA	16.9736	24.2841	11.861	33.5788	1	0	NA	NA	NA	0.138
24	AAFEX-I	160	3	JP-8	1148	18.6	1.6	13.6	5.6	4.34E+16	1.35E+15	4.20E+16	9.56	157.62	10.80	146.8	NA	NA	NA	NA	15.8443	21.8287	11.4075	29.6578	0	1	25.4	62	718	0.152
25	AAFEX-I	105	2	JP-8	1148	18.6	1.6	13.6	6.3	3.95E+16	2.42E+15	3.71E+16	18.75	171.75	45.60	126.1	NA	NA	NA	NA	18.7575	33.3892	11.9621	84.7464	1	0	NA	NA	NA	0.138
