ID	Mission	nPoints	Engine	Fuel	Sulfur	Aromatics	Naph	Hydrogen	TempC	ColdEIn	HotEIn	VolEIn	mBC	ColdV	HotV	VolV	Org_Fract	SO4_Fract	mOrg	mSO4	ColdGMD	ColdVMD	HotGMD	HotVMD	Engine2	Engine3	N1	N2	EGT	FF	
1	APEX	161	3	JP-8	383	17.6	0.93	13.69	31	2.69E+15	2.99E+14	2.39E+15	92.620	239.3	152.2	87.1	NA	NA	NA	NA	21.9067225	69.92223	28.485175	76.8000625	0	1	83.5	98.0	1013	0.785	
2	APEX	138	3	JP-8	383	17.6	0.93	13.69	24	3.99E+15	3.77E+14	3.61E+15	116.013	203.8	130.2	73.6	0.789565139	0.210434861	69.69920541	18.57622873	14.232235	72.75549	27.322235	77.09172	0	1	83.0	97.0	1024	0.784	
3	APEX	177	3	JP-8	383	17.6	0.93	13.69	33	1.60E+15	2.54E+14	1.34E+15	64.553	124.6	85.5	39.1	0.668787245	0.331212755	31.36506886	15.53335673	20.040415	72.7176225	26.36072	73.64013	0	1	83.0	90.0	1008	0.747	
4	APEX	228	3	JP-8	383	17.6	0.93	13.69	23	8.88E+15	3.70E+14	8.51E+15	81.232	173.3	111.9	61.4	NA	NA	NA	NA	12.73601286	60.81747286	24.27741429	74.17045143	0	1	83.0	96.0	1000	0.787	
5	APEX	178	3	Sulfur	1595	17.3	1.31	13.67	32	3.38E+15	2.98E+14	3.08E+15	80.671	167.2	98.0	69.2	NA	NA	NA	NA	15.352868	66.590468	26.181484	73.966836	0	1	83.0	95.0	1036	0.753	
6	APEX	221	3	Sulfur	1595	17.3	1.31	13.67	25	1.90E+16	3.22E+14	1.87E+16	75.786	175.1	89.2	85.9	0.511227182	0.488772818	52.66888903	50.35554097	14.47577833	45.825695	22.55627833	72.59478667	0	1	83.0	93.0	1010	0.757	
7	APEX	182	3	Aromatic	530	21.8	1.34	13.7	28	5.66E+15	2.92E+14	5.37E+15	78.624	134.8	97.4	37.4	0.693196275	0.306803725	31.10440309	13.76658684	12.25101	65.895792	29.520005	75.0158225	0	1	83.0	95.0	1020	0.748	
8	APEX	260	3	Aromatic	530	21.8	1.34	13.7	22	1.04E+16	4.14E+14	9.97E+15	101.350	215.0	136.8	78.2	0.702499859	0.297500141	65.92805953	27.91973085	12.97729714	61.91188857	23.07103714	76.73584714	0	1	83.5	94.0	1033	0.814	
9	APEX	131	3	Sulfur	1595	17.3	1.31	13.67	24	1.65E+16	3.45E+14	1.62E+16	108.880	250.2	133.8	116.4	0.468370966	0.531629034	65.42490248	74.26117372	14.23172	55.704235	26.8015325	78.645765	0	1	83.5	96.0	1051	0.781	
10	AAFEX-I	155	2	JP-8	1148	18.6	1.6	13.6	5.9	1.6E+16	5.9E+14	1.52E+16	81.4	131.5	66.0	65.4	NA	NA	NA	NA	14.2807	55.8435	22.9766	102.873	1	0	NA	NA	NA	0.880	
11	AAFEX-I	350	3	JP-8	1148	18.6	1.6	13.6	5.9	1.7E+16	5.3E+14	1.60E+16	64.2	116.9	60.4	56.5	NA	NA	NA	NA	12.8791	51.5693	21.2433	103.381	0	1	83.6	92.0	971	0.880	
12	AAFEX-I	150	3	JP-8	1148	18.6	1.6	13.6	9.6	1.9E+16	9.4E+14	1.76E+16	144.6	198.3	107.7	90.6	0.603429036	0.396570964	65.61783884	43.12376116	13.3679	64.9286	27.643	101.794	0	1	83.4	95.0	989	0.934	
13	AAFEX-I	190	2	JP-8	1148	18.6	1.6	13.6	9.4	1.7E+16	8.5E+14	1.66E+16	130.0	204.0	110.8	93.2	0.606990215	0.393009785	67.88651403	43.95468597	14.7915	63.5624	28.3384	104.065	1	0	NA	NA	NA	0.906	
14	AAFEX-I	90	3	JP-8	1148	18.6	1.6	13.6	9.8	1.8E+16	1.0E+15	1.69E+16	158.4	229.7	125.9	103.8	0.543155368	0.456844632	67.66651299	56.91388701	13.844	69.4236	28.6676	95.7659	0	1	83.4	93.0	1001	0.933	
15	AAFEX-I	125	3	JP-8	1148	18.6	1.6	13.6	-3.1	2.5E+16	1.2E+15	2.43E+16	148.5	239.8	142.8	97.1	0.661675481	0.338324519	77.06031457	39.40208543	14.2393	57.9679	26.4407	102.627	0	1	84.7	91.0	962	0.947	
16	AAFEX-I	137	2	JP-8	1148	18.6	1.6	13.6	-3.0	2.0E+16	1.0E+15	1.91E+16	137.9	231.7	137.5	94.2	0.723535853	0.276464147	81.78501985	31.25018015	15.1787	59.3895	26.8832	103.566	1	0	NA	NA	NA	0.920	
17	AAFEX-I	123	3	JP-8	1148	18.6	1.6	13.6	1.1	2.3E+16	5.5E+15	1.76E+16	140.1	232.2	209.9	22.3	0.730002546	0.269997454	19.51209204	7.216707959	14.1408	59.4218	14.2275	71.7741	0	1	83.9	91.0	961	0.885	
18	AAFEX-I	160	3	FT1	19	0	0	15.5	14.2	4.9E+14	2.3E+14	2.62E+14	14.3	52.4	31.0	21.4	0.899977576	0.100022424	23.13323962	2.57100038	14.8202	58.9546	26.9612	80.2852	0	1	82.5	94.0	982	0.820	
19	AAFEX-I	130	2	JP-8	1148	18.6	1.6	13.6	14.0	1.6E+16	7.4E+14	1.52E+16	104.7	164.9	91.5	73.4	0.568705247	0.431294753	50.08562084	37.98393916	14.3966	58.4013	27.4586	85.4052	1	0	NA	NA	NA	0.820	
20	AAFEX-I	120	3	FT1	19	0	0	15.5	14.8	5.2E+14	2.5E+14	2.66E+14	15.2	13.7	9.0	4.7	NA	NA	NA	NA	24.8901	59.8132	25.8081	61.5774	0	1	82.5	94.0	985	0.848	
21	AAFEX-I	140	3	FT1	19	0	0	15.5	1.0	7.2E+14	2.9E+14	4.32E+14	17.6	29.7	18.1	11.6	NA	NA	NA	NA	17.1383	56.683	26.3213	70.9995	0	1	84.7	94.0	968	0.916	
22	AAFEX-I	150	2	JP-8	1148	18.6	1.6	13.6	1.0	6.4E+15	9.1E+14	5.49E+15	125.3	182.3	93.1	89.2	0.529100051	0.470899949	56.65188528	50.42027472	15.3076	54.4952	25.584	83.2283	1	0	NA	NA	NA	0.916	
23	AAFEX-I	120	3	FT1	19	0	0	15.5	2.3	7.0E+14	3.0E+14	3.98E+14	21.0	23.5	15.2	8.3	0.849830509	0.150169491	8.467575222	1.496264778	25.4541	62.8682	26.9539	65.5176	0	1	84.4	94.0	974	0.912	
24	AAFEX-I	130	3	BlendFT1	699	8	0.8	14.5	3.1	1.1E+16	5.8E+14	1.09E+16	52.7	77.3	37.0	40.3	NA	NA	NA	NA	12.4326	46.1375	24.0638	75.5485	0	1	83.5	93.0	972	0.894	
25	AAFEX-I	160	2	JP-8	1148	18.6	1.6	13.6	3.7	1.7E+16	8.8E+14	1.64E+16	122.8	196.9	87.7	109.3	NA	NA	NA	NA	15.2436	57.8915	25.4834	85.6814	1	0	NA	NA	NA	0.894	
26	AAFEX-I	140	3	BlendFT1	699	8	0.8	14.5	7.6	1.1E+16	5.6E+14	1.09E+16	51.9	90.2	49.5	40.7	NA	NA	NA	NA	12.5926	54.803	27.0819	70.0379	0	1	83.3	91.0	972	0.906	
27	AAFEX-I	140	3	FT2	22	0.6	0	15.1	17.0	7.7E+14	3.5E+14	4.14E+14	26.3	30.7	19.8	10.8	0.689014746	0.310985254	8.947325009	4.038354991	19.0194	62.2645	28.7757	71.1461	0	1	82.6	95.0	1006	0.869	
28	AAFEX-I	200	2	JP-8	1148	18.6	1.6	13.6	17.0	1.3E+16	6.9E+14	1.19E+16	96.8	136.5	72.0	64.6	0.557058375	0.442941625	43.15762969	34.31653031	14.1935	58.2998	27.9766	83.749	1	0	NA	NA	NA	0.869	
29	AAFEX-I	150	3	FT2	22	0.6	0	15.1	18.0	7.2E+14	3.3E+14	3.86E+14	27.2	23.4	13.5	9.9	NA	NA	NA	NA	25.9052	61.3777	27.7705	65.2393	0	1	82.5	95.0	1019	0.923	
30	AAFEX-I	150	3	FT2	22	0.6	0	15.1	-1.4	7.5E+14	3.3E+14	4.29E+14	21.5	38.4	18.9	19.5	0.917751402	0.082248598	21.45126429	1.922455707	16.9458	57.6594	26.687	72.5229	0	1	84.7	93.0	965	0.909	
31	AAFEX-I	120	2	JP-8	1148	18.6	1.6	13.6	-1.2	1.8E+16	9.2E+14	1.74E+16	114.6	189.5	80.0	109.4	0.682357903	0.317642097	89.59771416	41.70832584	15.2714	52.9172	25.5618	82.4626	1	0	NA	NA	NA	0.909	
32	AAFEX-I	160	3	BlendFT2	658	9.1	0.8	14.3	10.7	7.2E+15	5.3E+14	6.70E+15	50.3	87.0	44.3	42.7	0.686427899	0.313572101	35.18689818	16.07398182	12.5893	53.0863	21.7724	77.2823	0	1	87.6	96.0	1034	1.014	
33	AAFEX-I	140	2	JP-8	1148	18.6	1.6	13.6	10.8	1.6E+16	8.0E+14	1.51E+16	110.9	168.7	81.2	87.5	0.59708561	0.40291439	62.71147174	42.31780826	14.5708	56.7002	25.1657	84.4625	1	0	NA	NA	NA	1.014	
34	AAFEX-I	170	3	BlendFT2	658	9.1	0.8	14.3	12.0	6.5E+15	5.3E+14	5.98E+15	50.6	75.4	39.0	36.4	NA	NA	NA	NA	12.027	53.6145	24.0625	75.7798	0	1	52.7	82.0	751	0.342	
